ID	O2 (µM)	Eh (mV)	H2S (µM)	S0 (mg g^-1 DW)	OM (mg g^-1 DW)	PA (× 10^7 cells g^-1 FW)
76	8.8246622	233.812	0.621	NA	201.94	22.18
77	0	-12.8918	1.1178	NA	132.95	10.8
78	0	-58.2522	1.1799	NA	135.92	11.39
79	0	NA	3.4776	NA	105.06	2.89
80	50.6585306	291.4914	0.4347	NA	117.98	7.55
81	0.0082554	77.8204	1.3662	NA	102.33	3.71
82	0	-112.3474	2.1735	NA	94.02	5.56
83	0	NA	0.7452	NA	95.24	3.97
96	3.6072106	0.3134	9.75879347850969	0.0541	198.46	26.76
97	0	-56.46808	13.3647893025452	0.2542	163.08	17.15
98	0	-113.00998	3.32332047996101	0	94.53	13.91
99	0	NA	1.64919887990939	0.0559	80.46	7.27
100	0.4799374	40.36544	2.505	0.14	106.44	17.38
101	0.2461062	-0.80038	4.55	0	94.74	17
102	0	-25.5097	16.615	0.07	105.26	9.89
103	0	NA	10.475	0.04	91.6	4.91
116	0	236.13472	3.15345426523108	NA	231.12	16.37
117	0	-155.80614	4.86071082317707	NA	142.42	12.31
118	0	-155.12546	1.26125163344918	NA	131.22	9.76
119	0	NA	3.72070332969215	NA	83.21	8.98
120	31.3599268	78.84756	3.895	NA	105.75	13
121	0	-56.2116	4.475	NA	101.33	9.34
122	0	-70.95266	2.54	NA	97.36	7.43
123	0	NA	4.935	NA	91.65	6.09
136	15.6537348	-67.71756	3.38110446044554	0.1354	159.77	32.99
137	0	-377.75944	4.67221739542904	0.0307	161.06	23.28
138	0	-316.1144	4.0145490386037	0	167.63	23.69
139	0	NA	3.12723268679574	0.0185	117.35	9.41
140	4.1148644	-10.15096	0.935	0.04	112.07	17.93
141	0	-270.00162	8.54	0	102.13	9.11
142	0	-324.30794	5.625	0	101.91	12.24
143	0	NA	13.165	0.03	71.64	8.4
156	3.9627144	36.8778	0.56	0.0466	209.81	22.48
157	0	-108.11474	7.3192524721848	0.0136	156.49	6.56
158	0	-115.2744	18.3419129862534	0	140.67	9.23
159	0	NA	10.2700871818438	0	122.32	7.09
160	2.6461594	70.97124	0.475	0.03	105.95	16.66
161	0.1286448	-16.62816	5.555	0.05	103.63	8.96
162	0	-17.54124	7.95	0	100.92	12.55
