Group	Color	Taxlevel
Archaea	firebrick1	DOMAIN
Bacteria	goldenrod1	
Bacteria_unclassified	goldenrod1	
No_Relative	gray	
Other	ivory	
Other_Bacteria	ivory	
Other_Cyanobacteria	ivory	
Other_Bacteroidota	ivory	
Other_Alphaproteobacteria	ivory	
Other_Gammaproteobacteria	ivory	
Other_Deltaproteobacteria	ivory	
Other_Actinobacteriota	ivory	
Other_Verrucomicrobiota	ivory	
Other_Crenarchaeota	ivory	
Other_Thermoplasmatota	ivory	
Other_Campylobacterota	ivory	
Other_Acidobacteriota	ivory	
Other_Desulfobacterota	ivory	
uncultured_Thermoplasmata	ivory	
Crenarchaeota	slateblue4	PHYLUM
Euryarchaeota	turquoise3	
Nanoarchaeota	yellow	
Thermoplasmatota	tan	
Actinobacteriota	tomato2	
Bacteroidota	dodgerblue3	
Calditrichaeota	bisque1	
Chloroflexi	aquamarine4	
Cyanobacteria	lightgreen	
Epsilonbacteraeota	violet	
Firmicutes	saddlebrown	
Gemmatimonadetes	darkorchid	
Kiritimatiellaeota	violetred	
Latescibacteria	skyblue4	
Fusobacteria	peru	
Marinimicrobia_(SAR406_clade)	red	
Planctomycetota	darkseagreen	
Proteobacteria	lightblue	
Spirochaetota	cyan	
Verrucomicrobiota	darkorange	
Acidobacteria	red4	
Desulfobacterota	tan3	
Myxococcota	darkmagenta	
Bdellovibrionota	violet	
Campylobacterota	darkmagenta	
Asgardarchaeota	darkgoldenrod2	
Acidobacteriota	magenta	
Armatimonadota	mediumorchid	
Calditrichota	lightsalmon	
Dependentiae	mistyrose	
Fibrobacterota	mediumvioletred	
Fusobacteriota	mediumturquoise	
Gemmatimonadota	mediumslateblue	
Latescibacterota	mediumseagreen	
Modulibacteria	mediumpurple4	
Nitrospirota	olivedrab1	
Sva0485	lightseagreen	
Zixibacteria	lightskyblue4	
Woesearchaeia	yellow	CLASS
Alphaproteobacteria	lightblue	
Alphaproteobacteria_unclassified	gray40	
Gammaproteobacteria	khaki1	
Gammaproteobacteria_unclassified	khaki1	
Proteobacteria_unclassified	gray	
Bacteroidia	dodgerblue3	
Anaerolineae	aquamarine4	
uncultured_Anaerolineae	khaki1	
Cyanobacteriia	lightgreen	
